county,state,all_residential,sf_residential,multi_residential,percent_residential,percent_multi,commute_time_in_mins,percentage_car,percentage_public,percentage_walk,percentage_wfh,percentage_occupancy,percentage_vacant,owner_below_poverty,renter_below_poverty,crime_rate,unemployment,nationalParkCount,stateParkCovergae,costOfLiving,mentalHealth
sandusky,ohio,14288,12649,1639,0.8852883538633819,0.11471164613661815,0.0,0.0,0.0,0.0,0.0,0.9231466445107444,0.07685335548925563,0.0,0.0,24.0,0.049400000000000006,1,0.0011,60023.13,4.6
scioto,ohio,16707,13042,3665,0.7806308732866463,0.21936912671335368,0.0,0.0,0.0,0.0,0.0,0.894406185816117,0.10559381418388306,10.2,48.5,34.0,0.053399999999999996,1,0.0011,62906.15,5.7
seneca,ohio,16718,14979,1739,0.8959803804282809,0.10401961957171911,0.0,0.0,0.0,0.0,0.0,0.9199047380295814,0.08009526197041865,0.0,0.0,16.0,0.0436,1,0.0011,59515.87,5.1
shelby,ohio,15414,13957,1457,0.9054755417153237,0.09452445828467627,0.0,0.0,0.0,0.0,0.0,0.937384715090483,0.06261528490951693,0.0,0.0,26.0,0.0364,1,0.0011,62191.61,5.4
stark,ohio,130105,119777,10328,0.9206179624149725,0.07938203758502747,35.6,0.8514399549124755,0.0065510833840195975,0.010725027482185406,0.10922006394839487,0.9316122998339319,0.06838770016606814,4.1,21.1,27.0,0.042,1,0.0011,63226.09,4.9
summit,ohio,0.0,0.0,0.0,0.0,0.0,53.8,0.8170401119016111,0.006575350729358715,0.009942201762224158,0.15252249908570956,0.9281381733496163,0.07186182665038361,3.4,26.6,31.0,0.042800000000000005,1,0.0011,66742.07,5.6
trumbull,ohio,49232,46539,2693,0.9452998050048749,0.05470019499512512,37.7,0.9058947465907249,0.0036002870968488807,0.00826561089115788,0.056493250908754136,0.9118270229039981,0.08817297709600186,5.4,32.8,21.0,0.0519,1,0.0011,62237.62,5.5
tuscarawas,ohio,20854,18912,1942,0.9068763786323967,0.09312362136760334,0.0,0.0,0.0,0.0,0.0,0.923904255579783,0.07609574442021706,4.5,17.3,10.0,0.0397,1,0.0011,65881.52,5.4
union,ohio,14401,13136,1265,0.9121588778557045,0.08784112214429554,0.0,0.0,0.0,0.0,0.0,0.9423533987295277,0.057646601270472324,0.9,10.2,7.0,0.0311,1,0.0011,76337.61,5.0
van wert,ohio,10572,9875,697,0.9340711312902006,0.06592886870979947,0.0,0.0,0.0,0.0,0.0,0.9241626794258373,0.07583732057416268,0.0,0.0,21.0,0.0346,1,0.0011,61668.49,5.4
vinton,ohio,1057,960,97,0.9082308420056765,0.09176915799432356,0.0,0.0,0.0,0.0,0.0,0.8728684788114132,0.12713152118858687,0.0,0.0,13.0,0.0524,1,0.0011,64664.84,5.9
warren,ohio,42344,37798,4546,0.8926412242584546,0.10735877574154544,0.0,0.0,0.0,0.0,0.0,0.9550795488657318,0.044920451134268194,2.9,12.9,12.0,0.0339,1,0.0011,79311.0,4.9
washington,ohio,11145,10550,595,0.9466128308658591,0.05338716913414087,0.0,0.0,0.0,0.0,0.0,0.9023475184907278,0.09765248150927217,0.0,0.0,13.0,0.0495,1,0.0011,63451.84,5.5
wayne,ohio,24784,20979,3805,0.8464735313105229,0.15352646868947709,0.0,0.8335450357366295,0.0006825032703281703,0.06572885661743796,0.06997554363281325,0.9447535173450757,0.05524648265492428,4.5,11.6,15.0,0.0327,1,0.0011,65616.88,5.3
williams,ohio,8686,7861,825,0.9050195717246143,0.09498042827538568,0.0,0.0,0.0,0.0,0.0,0.9215627075659683,0.07843729243403176,0.0,0.0,12.0,0.0353,1,0.0011,62048.51,5.1
wood,ohio,34206,32689,1517,0.9556510553704028,0.044348944629597147,0.0,0.0,0.0,0.0,0.0,0.9356171851643423,0.06438281483565764,3.7,19.4,14.0,0.0364,1,0.0011,68044.08,5.6
wyandot,ohio,4470,4163,307,0.9313199105145414,0.06868008948545862,0.0,0.0,0.0,0.0,0.0,0.9232645594064437,0.07673544059355626,0.0,0.0,9.0,0.0298,1,0.0011,60891.77,5.3
